User,Tweet
advosushildixit,anjanaomkashyap see futur bjp spokesperson good luck anjana om modi oop kashyap journalist like chang mean journal janta maaf nai kareg
jiaeur,loksabhaelect rd may reveal even ecisveep could help modi win janatab mann banaata hai chupk se jor se tappad deta hai
PVenkatGandhi,loksabhaelect rd may reveal even ecisveep could help modi win janatab mann banaata hai chupk se jor se tappad deta hai
TheNirbhay1,pm modi creat new record pm democrat countri congratul pm welcom heart india elect pmmodi deshkagauravmodi elect bjp india
ShakeChilli,abhijitmajumd appoint successor god forbid allow bjp stoop low end rss ideolog high ground post elect result bjp new presid thing move per bar set within parti modi contest ls year age
UttarrPradesh,follow top prioriti modi govern loksabhaelect
Mdsr20351488,yr modi 🙁 sc vs sc ec vs ec media vs media rbi vs rbi cbi vs cbi friend vs friend anoth yr wil armi vs armi cop vs cop famili vs famili kunalkamra prakashraaj bdutt thequint ndtv sardesairajdeep dhruvrathe loksabhaelect
ShaileshWrites,renukajain still rememb video massag disappoint bjp lost state broke tear time big celebr soon receiv tweet honour narendramodi ji india 😊
iamljp,bjp bjpindia incindia inckarnataka much think modi spend tax money fake photographi fake channel fake propaganda fake news fake advertis chorchowkidar
TheShobhitAzad,azadpredict loksabhaelect bjp nda take screen shot rd may result narendramodi amitshah aayegatohmodihi
sheikh541,bjp renam safroon parti name modi parti could bodi guess next name parti asadowaisi warispathan syedasimwaqar aimimn shaukataimim modihaitohgodsehai modiinkedarnath kejriwalassassinationclaim
Mdsr20351488,pakistani seriou doubt concept twonationtheori alway hold grudg amount loss suffer partit like modi alot clarifi tnt best possibl way kunalkamra bdutt thequint dhruvrathe altnew loksabhaelect
JosephPravinP,ajaymaken rahulgandhi final touch modi ji prove world rahul real pappu therebi make rahulgandhi perfect fit futur thank modi ji 😅 bjp congress rahulgandhi elect
TheSaptarshiRay,think cast vote last phase today peopl final want see next pm rahulmamataakhileshmayavatichandrababukcrdevegowdamodi cast vote wise loksabhaelect majbootsarkar
AshokeRattan,tri forg opposit futil exercis imagin inc could get support mp entitl legal leader opposit benevol narendramodi gave posit thankless mallikarjunkharg chariti
VandanaMegastar,loksabhaelect anyon mass back cant visionari politician neta destin work lobbi differ rahul amp modi modi cow rahul doesnt rahul cant hide behind cow deliv go
Iqbal_Hussains,electioncommiss loksabhaelect pm medit camera kedarnath clear mcc violat modi blueey boy ec action expectedthi bodi show arent abl conduct even panchayat electionssyedazhar bdutt mohtasimmalik ksaifi
RGspeak,incindia releas video rahulgandhi visit kedarnath shrine modi immedi would studi contrast amp import everyon comprehend kedarnathtempl kedarnath rahulgandhi
nirajkushwa,kajalchauhan dashingassu pm modi ji take seriou decis truenarendramodi cmyogi
bhagat_9495,howmani seat bjp win loksabhaelect narendramodi amitshah theskindoctor bhaksala chitranshpathk malharbhatt
UdayiCODE,see option pm time modi narendramodi narendradamodarmodi
SandipGhose,thakkarsameet bdutt surjitbhalla n smack arrog entitl turn modi vs rahul contest undermin entir opposit campaign make aur kaun hain scenario opposit squar blame rahulgandhi congress ruin fight chanc elect
NehShh2,jagratigupta swami matter educ exam without cheat realli appreci work myogiadityanath narendramodi feel bjp knowledg ko support krti h bribe ko nhi ar ye yogi ji ka phla aesa kam tha jisn desh ko sawara ar shi raah dukhai
abdullalsebea,im indian ill vote narendramodi youthwithmodi namoagain elect voteforindia elect polit vote bjp india elect news narendramodi rss republican presid like bollywood indian bhfyp
freespeechabi,loksabhaelect last phase voter pleas dont get complac modi win dont forget vote go varanasi bengal punjab etc get modi finalphas
ninadsheth,tarekfatah nytopinion romilathapar one india top fiction writer call bjp narendramodi peddllar myth real denver resid non indian fat foreign fund jihad support
VijayMittal2512,ahmedhil calcul arvindkejriw vote distribut delhi muslim wrongactu calcul went congress went aamaadmiparti went bjp leader parti think muslimvot went bjpindia dark narendramodi
KedarSirohi,modi india india modi prove press confer mr india couldnt seen report one wear red glass loksabhaelect mutemodi
zarbealikazmi,without parchi modi total quit hole confer rather presid bjp answer question 😜😜😜😜
subhamsenapaty,bjp bhakt open challeng need loan central govern scheme note document readi credit score good narendramodi girirajsinghbjp drramansingh dpradhanbjp bjpindia pmoindia sambitswaraj amitshah minmsm
soumyasarkar007,vote power narendramodi make mistak consid arunjaitley fm worst case economi abkibaarpaar bjp apnamodiaayega ayegatohmodihi
Od_Vigilante,increas retir age narendramodi ji kedarnath harharmahadev bjp electionresult elect realheroesofhuman bjpindia amitshah
Scorpion1007,indiatoday narendramodi kind bloodi drama bjp clown
devenrolly1987,arvindkejriw dear sir g number time chant modi modi bjp bjp till nowif ram ram chant god would come earth till loksabhaelect elect modihaitohgodsehai modi modionbharat narendramodijindabad bjp
BapiM14,iyctelangana incbasavakalyan narendramodi iyc incindia rahulgandhi priyankagandhi hardikpatel allavaru keshavyadaviyc srinivasiyc srivatsayb raksharamaiah jmscindia call bjp languag swatch amp swasth hindutva theori applic person except bjpian question demon possess
touthang_seiboi,sidmtweet indosecular good night modi wish sound sleep enjoy luxuri bed kedernath narendramodi bjp
AKLalB,juneborn koenamitra rishibagre supriyobabul narendramodi amitshah hmoindia rashtrapatibhvn pmoindia hmoindia amitshah bjpindia bjpbengal ask ecisveep order repol westbeng booth armi order arrest miscreant irrant officialsbook mamataoffici hindu genocid elect modi amitshah bjp break
AKLalB,koenamitra supriyobabul narendramodi amitshah hmoindia rashtrapatibhvn pmoindia hmoindia amitshah bjpindia bjpbengal ask ecisveep order repol westbeng booth armi order arrest miscreant irrant officialsbook mamataoffici hindu genocid elect modi amitshah bjp break
NrVinayakumar,amithshahbjp dear narendra modi ji pleas river attach wise karnataka hole peopl daid water karnataka famou dharmastala netravati river water save dharmastala narendramodi amithsha
