User,Tweet
Sunnysweet16,wonder academ journalist ask inc india rahul gandhi simpl questionwhat danger origin constitut chang time cours yr rule loksabhaelect
drnitinchaube,congrat chang australiavot scottmorrison sir wind chang go bring congress upacom loksabhaelect along rahul incindia rahulgandhi dickdarryl rkhuria kukk mahilacongress
mrvivek07,peopel say govt ne year kya kiya uns pucho year govt kais rahi kaamboltahainindianelect congress bjp incindia bjpindia electionng aajtak navbharattim zeenew timesofindia httweet rahulgandhi
JosephPravinP,ajaymaken rahulgandhi final touch modi ji prove world rahul real pappu therebi make rahulgandhi perfect fit futur thank modi ji 😅 bjp congress rahulgandhi elect
VandanaMegastar,loksabhaelect anyon mass back cant visionari politician neta destin work lobbi differ rahul amp modi modi cow rahul doesnt rahul cant hide behind cow deliv go
RGspeak,incindia releas video rahulgandhi visit kedarnath shrine modi immedi would studi contrast amp import everyon comprehend kedarnathtempl kedarnath rahulgandhi
SandipGhose,thakkarsameet bdutt surjitbhalla n smack arrog entitl turn modi vs rahul contest undermin entir opposit campaign make aur kaun hain scenario opposit squar blame rahulgandhi congress ruin fight chanc elect
__Shivampandey,rahul gandhi spot switzerland hour ago sourc rahulgandhi true divyaspandana
usman_majid1,bjp nowher india may bjp vanish may rahulgandhi loksabhaelect
pintoo2060,punjab bhatinda cong sad neck neck cong may win ferozepur sad faridkot sad cong neck neck patiala cong edg gandhi give challeng chandigarhbjp fatehgarh sahibcong loksabhaelect
BapiM14,iyctelangana incbasavakalyan narendramodi iyc incindia rahulgandhi priyankagandhi hardikpatel allavaru keshavyadaviyc srinivasiyc srivatsayb raksharamaiah jmscindia call bjp languag swatch amp swasth hindutva theori applic person except bjpian question demon possess
eccentricraj,anidigit ani rssurjewala eci sunilarora anoth naveenchawla rahulgandhi comment modi order fire tribal spokespersoneci would ban rahulgandhi hour bjpindia would rush sc lol eci act rahulgandhi yet kedarnath amitshah bjp
mayursejpal,predict bjpnda congress upa mahagathbandhan agre narendramodi amitshah bjpindia rahulgandhi priyankagandhi incindia yeti kejriwalassassinationclaim kedarnath ashoklavasa indiragandhi loksabhaelect
nagarjund,siddaramaiah mallikarjun kharg dinesh gundu rao dk shivakumar g parameshwar head delhi meet rahul gandhi futur strategi karnataka discuss loksabhaelect
INC_KONARKKD,rahulgandhi rg next pm india loksabhaelect
INC_KONARKKD,rahulgandhi great one loksabhaelect
dipaksamanta,rahulgandhi speak nehru great grandfath shouldnt speak indira gandhi grandmoth shouldnt speak rajiv gandhi father rahulgandhi
KhoranaR,whatev outcom loksabhaelect rahul emerg strong leader congress cadr energis state opportun build strong congress cadr incindia
bhhatu,jhasanjay nice pic jhasanjay u total rock pose youngster learn u bondman gandhi famili kedarnath loksabhaelect phase namoagain ayegatomodihi modiaanewalahai
pdquote,bjp aircraft detect congress led opposit radar n down although weather quit cloudi rdmaymodifarewellday abhoganyay rahulgandhi rssurjewala kanhaiyakumar shehlarashid yogendrayadav prakashraaj digvijaya arvindkejriw incindia
mrmishra2001,incindia rahulgandhi parti done good work opposit scam done modi govern opposit period good luck opposit parti forev pappu bhai 😁😀😀raga narendramodi
madhusudan41,sanjaymarket throughout loksabhaelect campaign neither rahul gandhi congress even project congress presid prime ministeri candid talk rahul prime minist came tamil nadu dmk supremo mk stalin
madhusudan41,jayeshchand nonnda region parti get anchor form sonia like jp vp singh harkishan singh surjeet bring egoist temperament region satrap gethersonia order rahul make sacrific accommod region partiesloksabhaelect
madhusudan41,per design sonia deliber kept low profil allianc negoti loksabhaelect campaignsh want overshadow rahul veto polit instinct result rd sonia act swiftli
rjarpitaa,muster strategi sonia gandhi call meet senior congress leader may day ahead count vote loksabhaelect possibl rope new nonnda parti upa coaltion buttress opposit number may discuss sourc said
Sarcastic_SR,sens get peopl talk vote bjp like bjp done last year dont want rahulgandhi becom pm think congress need think futur elect
puranik_kaushik,polit parti fight gods kill gandhi justifiedit year sinc incid leav focu elect elect bjp congress rahulgandhi narendramodi
umakantsingh_IN,mutemodi wrong modi lost alreadi medit himalaya rahul gandhi still loksabhaelect kedarnath
Utsav6589,rahulgandhi dont worri mr gandhi aayega modi hithen give answer okay delhi abhi dur heabki bar phir modi sarkarloksabhaelect narendramodi
